epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6471,2.44532,14.2058,0.01124,0.01221,0.18683,0.00173,0.00061,1.7262,9.93635,0.01114,0.0001875,0.0001875,0.0001875
2,57.0489,1.55886,10.3799,0.00655,0.01665,0.48541,0.06235,0.02361,1.63647,9.73681,0.01007,0.000383664,0.000383664,0.000383664
3,65.1167,1.5208,10.3817,0.00657,0.01332,0.73057,0.15644,0.07895,1.27894,9.08862,0.00737,0.000575868,0.000575868,0.000575868
4,73.3288,1.51833,9.57973,0.00649,0.47058,0.33685,0.22397,0.11072,1.29342,8.84755,0.00729,0.000764111,0.000764111,0.000764111
5,81.2912,1.51665,9.10073,0.0066,0.84967,0.10131,0.2314,0.09754,1.44234,8.66515,0.0081,0.000948395,0.000948395,0.000948395
6,89.5388,1.58724,7.8384,0.0067,0.51557,0.19662,0.24639,0.121,1.46158,8.12674,0.00831,0.00112872,0.00112872,0.00112872
7,97.9369,1.55225,7.36261,0.00642,0.70054,0.20836,0.20201,0.09691,1.4951,7.07237,0.00876,0.00117575,0.00117575,0.00117575
8,106.339,1.55804,7.02437,0.00642,0.72135,0.24381,0.27197,0.13978,1.47175,4.88163,0.00851,0.00116337,0.00116337,0.00116337
9,114.244,1.54017,6.73063,0.00658,0.61168,0.31211,0.30663,0.16471,1.39544,3.5964,0.00814,0.001151,0.001151,0.001151
10,122.433,1.57684,6.28842,0.00657,0.62698,0.32941,0.29561,0.14185,1.48421,2.92379,0.00856,0.00113863,0.00113863,0.00113863
11,130.592,1.54872,5.76127,0.00657,0.67469,0.34351,0.35834,0.18577,1.40016,2.16692,0.00802,0.00112625,0.00112625,0.00112625
12,138.996,1.53134,5.39476,0.00654,0.64156,0.35439,0.35798,0.1923,1.39472,1.9683,0.00805,0.00111388,0.00111388,0.00111388
13,147.247,1.53086,4.71211,0.00657,0.65851,0.35407,0.35571,0.19532,1.39966,1.85047,0.00812,0.0011015,0.0011015,0.0011015
14,155.698,1.49802,4.48351,0.00625,0.62823,0.36685,0.35685,0.19372,1.4221,1.77383,0.00835,0.00108913,0.00108913,0.00108913
15,164.424,1.53255,4.34129,0.00676,0.68423,0.3693,0.40372,0.21957,1.42509,1.66364,0.00824,0.00107675,0.00107675,0.00107675
16,172.578,1.53315,3.98774,0.00667,0.57261,0.35985,0.31498,0.15099,1.4873,1.98712,0.00861,0.00106437,0.00106437,0.00106437
17,180.532,1.53335,3.82039,0.00651,0.62319,0.40163,0.40411,0.22684,1.40458,1.66208,0.00834,0.001052,0.001052,0.001052
18,188.542,1.4892,3.43761,0.00623,0.57091,0.38917,0.3501,0.17913,1.46715,1.80836,0.00848,0.00103962,0.00103962,0.00103962
19,196.786,1.49102,3.05412,0.00572,0.68308,0.40774,0.43575,0.24153,1.44209,1.537,0.00834,0.00102725,0.00102725,0.00102725
20,205.214,1.51428,3.12191,0.00638,0.67823,0.42545,0.43569,0.25131,1.3549,1.50017,0.00776,0.00101488,0.00101488,0.00101488
21,213.232,1.5141,3.12167,0.00632,0.68284,0.42356,0.41708,0.22183,1.40941,1.61599,0.00781,0.0010025,0.0010025,0.0010025
22,221.798,1.51236,2.89086,0.00639,0.67924,0.41666,0.42577,0.23679,1.4051,1.55036,0.0081,0.000990125,0.000990125,0.000990125
23,230.415,1.51429,2.79132,0.00657,0.6682,0.42135,0.44316,0.24554,1.42,1.50562,0.00822,0.00097775,0.00097775,0.00097775
24,238.568,1.46628,2.60209,0.00662,0.67661,0.46381,0.46582,0.26166,1.38174,1.42684,0.00809,0.000965375,0.000965375,0.000965375
25,246.728,1.44625,2.53778,0.00627,0.64413,0.40037,0.4103,0.23186,1.35283,1.56968,0.00771,0.000953,0.000953,0.000953
26,254.679,1.46303,2.24476,0.00607,0.71811,0.47125,0.50373,0.29722,1.32826,1.35788,0.00766,0.000940625,0.000940625,0.000940625
27,262.969,1.43527,2.2673,0.00613,0.72317,0.47836,0.53037,0.30932,1.35308,1.29453,0.00788,0.00092825,0.00092825,0.00092825
28,271.172,1.44089,2.15095,0.00596,0.78113,0.42984,0.51397,0.30439,1.33501,1.27588,0.00765,0.000915875,0.000915875,0.000915875
29,279.67,1.45142,2.12731,0.00634,0.70323,0.46946,0.50119,0.2963,1.34689,1.29833,0.00789,0.0009035,0.0009035,0.0009035
30,287.603,1.47051,2.07825,0.0063,0.71555,0.50371,0.53494,0.31993,1.33521,1.21788,0.00761,0.000891125,0.000891125,0.000891125
31,295.505,1.45657,1.97252,0.00597,0.73555,0.46702,0.54016,0.32343,1.30017,1.26491,0.00748,0.00087875,0.00087875,0.00087875
32,303.725,1.47253,2.03513,0.00632,0.75942,0.50268,0.55292,0.30871,1.37873,1.2566,0.00793,0.000866375,0.000866375,0.000866375
33,311.994,1.41613,1.88781,0.00562,0.72553,0.50836,0.53933,0.32711,1.29523,1.2229,0.00731,0.000854,0.000854,0.000854
34,320.502,1.41572,1.8535,0.00594,0.7321,0.46019,0.51418,0.30194,1.37824,1.21492,0.00819,0.000841625,0.000841625,0.000841625
35,328.801,1.48682,1.89643,0.00671,0.74904,0.48991,0.54898,0.31554,1.39928,1.22087,0.00799,0.00082925,0.00082925,0.00082925
36,337.18,1.41844,1.75711,0.00601,0.75242,0.50694,0.53852,0.31429,1.36111,1.2773,0.00783,0.000816875,0.000816875,0.000816875
37,345.707,1.3984,1.65422,0.00559,0.79071,0.51021,0.57575,0.35939,1.2538,1.10611,0.00714,0.0008045,0.0008045,0.0008045
38,354.124,1.41338,1.68183,0.006,0.80155,0.51089,0.58451,0.36374,1.27142,1.0757,0.00724,0.000792125,0.000792125,0.000792125
39,362.293,1.41666,1.67536,0.00609,0.75587,0.49348,0.59885,0.37938,1.27991,1.07447,0.00734,0.00077975,0.00077975,0.00077975
40,370.671,1.40599,1.60095,0.00587,0.74051,0.55894,0.61903,0.37998,1.2745,1.07031,0.00717,0.000767375,0.000767375,0.000767375
41,378.928,1.35086,1.52008,0.00579,0.7793,0.51827,0.65517,0.39433,1.30651,1.088,0.00721,0.000755,0.000755,0.000755
