epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.156,1.80421,6.30941,0.00596,0.4767,0.29964,0.29523,0.16811,1.37976,2.83571,0.00464,0.000406977,0.000406977,0.000406977
2,146.577,1.59711,2.5122,0.00515,0.59792,0.42243,0.36436,0.196,1.52154,2.02341,0.0049,0.000815489,0.000815489,0.000815489
3,192.604,1.63954,1.85161,0.00535,0.59746,0.44969,0.41237,0.21981,1.60004,1.91093,0.00532,0.00121575,0.00121575,0.00121575
4,238.649,1.62587,1.71485,0.00539,0.62547,0.47017,0.47651,0.3025,1.27947,1.92987,0.00419,0.00121287,0.00121287,0.00121287
5,284.37,1.583,1.43659,0.00502,0.64001,0.47132,0.45443,0.24513,1.53295,1.74913,0.00495,0.0012005,0.0012005,0.0012005
6,330.892,1.55171,1.38207,0.00483,0.66525,0.50855,0.52636,0.34086,1.28903,1.19225,0.0041,0.00118812,0.00118812,0.00118812
7,377.202,1.54255,1.3518,0.00496,0.74952,0.58088,0.67551,0.44808,1.26742,1.05093,0.00403,0.00117575,0.00117575,0.00117575
8,423.423,1.46156,1.2115,0.00466,0.46855,0.77506,0.74384,0.50939,1.22484,0.93058,0.00382,0.00116337,0.00116337,0.00116337
9,469.73,1.4356,1.14579,0.00439,0.81026,0.66557,0.7779,0.54621,1.23761,1.05517,0.00387,0.001151,0.001151,0.001151
10,515.607,1.43254,1.1156,0.00465,0.6396,0.77715,0.84195,0.60219,1.16681,0.97846,0.00366,0.00113863,0.00113863,0.00113863
11,561.341,1.40737,1.04319,0.00451,0.77831,0.86878,0.88016,0.68366,1.05164,0.86135,0.00328,0.00112625,0.00112625,0.00112625
12,607.31,1.41208,1.07191,0.00459,0.89642,0.70394,0.89121,0.65727,1.21152,0.80592,0.00387,0.00111388,0.00111388,0.00111388
13,653.986,1.42825,1.09011,0.00444,0.84309,0.56353,0.61361,0.41454,1.20431,0.879,0.00384,0.0011015,0.0011015,0.0011015
14,700.847,1.44563,1.07088,0.00451,0.60465,0.71709,0.66352,0.46279,1.16789,0.88094,0.00375,0.00108913,0.00108913,0.00108913
15,746.855,1.4017,1.00328,0.00457,0.74783,0.89298,0.89294,0.60198,1.34045,0.92016,0.00432,0.00107675,0.00107675,0.00107675
16,792.743,1.36467,0.98523,0.00447,0.63359,0.70992,0.81025,0.60239,1.11345,0.82569,0.00354,0.00106437,0.00106437,0.00106437
17,839.634,1.30015,0.93334,0.004,0.70552,0.79979,0.8004,0.59395,1.08613,0.83673,0.00333,0.001052,0.001052,0.001052
18,885.291,1.32022,0.90684,0.00427,0.85248,0.73904,0.88761,0.68272,1.05277,0.76542,0.00338,0.00103962,0.00103962,0.00103962
19,931.217,1.2865,0.89519,0.00415,0.51436,0.85415,0.68211,0.45535,1.19448,0.89058,0.00387,0.00102725,0.00102725,0.00102725
20,976.948,1.3191,0.90491,0.00428,0.65254,0.80308,0.8743,0.68938,0.99203,0.81035,0.00315,0.00101488,0.00101488,0.00101488
21,1023.43,1.27784,0.85949,0.0041,0.82544,0.78704,0.88294,0.68603,1.02015,0.75816,0.00313,0.0010025,0.0010025,0.0010025
22,1069.76,1.23294,0.85647,0.00384,0.68518,0.8252,0.89306,0.67812,1.09979,0.78169,0.00358,0.000990125,0.000990125,0.000990125
23,1115.95,1.23789,0.83903,0.0038,0.80548,0.82588,0.88027,0.69769,1.06168,0.78012,0.00333,0.00097775,0.00097775,0.00097775
24,1162.14,1.26267,0.8135,0.00388,0.70746,0.80568,0.89793,0.66575,1.16242,0.81097,0.00361,0.000965375,0.000965375,0.000965375
25,1208.58,1.29523,0.79426,0.00394,0.6097,0.6056,0.68456,0.50108,1.05208,0.72383,0.00331,0.000953,0.000953,0.000953
26,1254.35,1.25091,0.81084,0.00405,0.89311,0.75962,0.88831,0.67284,1.127,0.7405,0.00363,0.000940625,0.000940625,0.000940625
27,1300.47,1.24362,0.75502,0.00396,0.88606,0.76582,0.9066,0.689,1.10544,0.68593,0.00352,0.00092825,0.00092825,0.00092825
28,1346.59,1.15831,0.72757,0.0036,0.86918,0.82274,0.90485,0.70333,1.03597,0.71997,0.00324,0.000915875,0.000915875,0.000915875
29,1392.69,1.19043,0.73868,0.00377,0.62522,0.59865,0.67184,0.47317,1.10256,0.74898,0.00346,0.0009035,0.0009035,0.0009035
30,1439.33,1.16121,0.70009,0.0036,0.67685,0.83815,0.7713,0.54995,1.19007,0.79146,0.00371,0.000891125,0.000891125,0.000891125
31,1485.41,1.20441,0.71591,0.00374,0.65626,0.77888,0.70474,0.48053,1.24093,0.86204,0.00371,0.00087875,0.00087875,0.00087875
32,1531.93,1.18581,0.71246,0.00374,0.83597,0.67128,0.87982,0.63433,1.09227,0.78076,0.00363,0.000866375,0.000866375,0.000866375
33,1578.44,1.14205,0.67275,0.00351,0.52179,0.9071,0.69688,0.50413,1.11841,0.85771,0.00349,0.000854,0.000854,0.000854
34,1625.22,1.16262,0.68192,0.00352,0.77801,0.7847,0.78415,0.59799,1.04669,0.7622,0.00343,0.000841625,0.000841625,0.000841625
35,1672.16,1.09552,0.62618,0.00335,0.84702,0.59854,0.64983,0.48165,1.01288,0.79282,0.0032,0.00082925,0.00082925,0.00082925
36,1718.18,1.14214,0.65697,0.00345,0.74934,0.68518,0.86994,0.66697,1.08917,0.81625,0.00346,0.000816875,0.000816875,0.000816875
37,1763.98,1.14107,0.66193,0.00341,0.6796,0.66745,0.88258,0.67766,1.05927,0.80032,0.00333,0.0008045,0.0008045,0.0008045
38,1810.14,1.1027,0.62492,0.00324,0.7371,0.77552,0.76536,0.57682,1.05349,0.75843,0.0034,0.000792125,0.000792125,0.000792125
39,1856.35,1.11009,0.60963,0.00336,0.82331,0.7228,0.88091,0.67265,1.11594,0.80172,0.00365,0.00077975,0.00077975,0.00077975
40,1902.57,1.06366,0.57795,0.00316,0.67676,0.83248,0.70201,0.52283,1.03827,0.7419,0.0033,0.000767375,0.000767375,0.000767375
41,1948.63,1.04264,0.57252,0.00309,0.6238,0.93122,0.81519,0.62337,1.05723,0.71229,0.00336,0.000755,0.000755,0.000755
42,1994.27,1.02023,0.55082,0.00305,0.66695,0.80421,0.67732,0.49167,1.0747,0.79708,0.00343,0.000742625,0.000742625,0.000742625
43,2039.77,1.01763,0.5593,0.00313,0.58814,0.68879,0.68817,0.50051,1.04089,0.7594,0.0033,0.00073025,0.00073025,0.00073025
44,2085.91,1.00559,0.54823,0.00288,0.71351,0.80518,0.72156,0.52055,1.13393,0.77724,0.00347,0.000717875,0.000717875,0.000717875
45,2132.06,1.02813,0.5515,0.00304,0.6524,0.76422,0.71042,0.51506,1.10232,0.86361,0.00334,0.0007055,0.0007055,0.0007055
46,2178.2,0.99593,0.52659,0.00288,0.86247,0.81245,0.90167,0.66305,1.05637,0.68988,0.00341,0.000693125,0.000693125,0.000693125
47,2224,0.97805,0.53812,0.00306,0.76179,0.6874,0.7668,0.57815,1.01161,0.77255,0.00322,0.00068075,0.00068075,0.00068075
48,2269.72,0.99336,0.52036,0.00317,0.62628,0.86376,0.69113,0.50687,1.05802,0.77277,0.00333,0.000668375,0.000668375,0.000668375
49,2316.47,0.97434,0.50954,0.00287,0.78029,0.80145,0.78816,0.56937,1.0704,0.78381,0.00337,0.000656,0.000656,0.000656
