epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8501,1.73884,20.3339,0.00817,0.72052,0.2227,0.22726,0.09498,1.81018,3.00092,0.00647,0.00041423,0.00041423,0.00041423
2,101.523,1.64501,5.62348,0.00784,0.78353,0.22655,0.29933,0.14279,1.60945,2.25888,0.00526,0.000817187,0.000817187,0.000817187
3,147.177,1.70652,3.53607,0.00855,0.81251,0.17308,0.16099,0.05875,1.87399,2.67147,0.00634,0.00120639,0.00120639,0.00120639
4,192.789,1.76114,2.82239,0.00848,0.29854,0.1861,0.22471,0.06975,1.81094,2.67888,0.00622,0.00118812,0.00118812,0.00118812
5,238.619,1.70043,2.83092,0.00763,0.68348,0.2244,0.23209,0.0736,1.67374,2.36636,0.00553,0.0011675,0.0011675,0.0011675
6,284.155,1.65624,2.50393,0.00827,0.60843,0.28198,0.30931,0.10463,1.85284,2.15049,0.00637,0.00114688,0.00114688,0.00114688
7,329.634,1.66226,2.36626,0.0078,0.63854,0.43719,0.40015,0.19042,1.71239,1.84168,0.0057,0.00112625,0.00112625,0.00112625
8,375.793,1.6095,2.22257,0.00764,0.53085,0.40663,0.31232,0.09496,1.71187,2.1994,0.00542,0.00110563,0.00110563,0.00110563
9,421.148,1.60186,2.17605,0.00739,0.61086,0.49718,0.44019,0.16778,1.60178,1.96473,0.00524,0.001085,0.001085,0.001085
10,466.605,1.5352,1.98741,0.00679,0.52111,0.33047,0.2938,0.10633,1.61255,2.15314,0.00538,0.00106437,0.00106437,0.00106437
11,511.738,1.56601,2.07849,0.00732,0.66245,0.48749,0.44854,0.1792,1.68108,1.86309,0.00545,0.00104375,0.00104375,0.00104375
12,557.126,1.56599,2.07482,0.00724,0.56003,0.41168,0.37504,0.14896,1.65542,1.83702,0.00547,0.00102312,0.00102312,0.00102312
13,602.243,1.57377,2.02538,0.0075,0.51649,0.47812,0.28374,0.08818,1.86806,2.15637,0.00602,0.0010025,0.0010025,0.0010025
14,647.321,1.51835,2.0009,0.00666,0.62941,0.45562,0.44665,0.18137,1.61269,1.722,0.0053,0.000981875,0.000981875,0.000981875
15,692.344,1.50625,2.02699,0.00694,0.68743,0.48272,0.49177,0.2214,1.56293,1.66968,0.00513,0.00096125,0.00096125,0.00096125
16,737.356,1.55194,1.98396,0.00692,0.59446,0.52335,0.48072,0.2117,1.62454,1.64246,0.00536,0.000940625,0.000940625,0.000940625
17,782.578,1.57904,1.88243,0.0079,0.56302,0.62785,0.74211,0.39087,1.52412,1.53095,0.00494,0.00092,0.00092,0.00092
18,827.686,1.52007,1.82979,0.00694,0.54351,0.44674,0.32911,0.09123,1.96587,2.09341,0.00643,0.000899375,0.000899375,0.000899375
19,872.768,1.48987,1.88069,0.00711,0.69668,0.47985,0.49132,0.21043,1.61763,1.84043,0.0053,0.00087875,0.00087875,0.00087875
20,917.905,1.47556,1.82183,0.007,0.57099,0.48051,0.4408,0.18091,1.58481,1.83862,0.00504,0.000858125,0.000858125,0.000858125
21,963.19,1.46471,1.66414,0.00681,0.54819,0.41498,0.37036,0.12072,1.99021,1.88007,0.00658,0.0008375,0.0008375,0.0008375
22,1008.29,1.49681,1.70269,0.0071,0.70081,0.45364,0.46537,0.16297,1.89514,1.68635,0.00626,0.000816875,0.000816875,0.000816875
23,1053.29,1.44298,1.60623,0.00684,0.71914,0.47872,0.67173,0.20707,1.94497,1.72718,0.00647,0.00079625,0.00079625,0.00079625
24,1098.3,1.45607,1.64287,0.00695,0.59699,0.47167,0.46292,0.1372,2.00777,1.87224,0.00656,0.000775625,0.000775625,0.000775625
