epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6377,2.15221,11.8844,0.00733,0.01249,0.11189,0.00176,0.00089,1.81628,12.0278,0.00623,0.0002625,0.0002625,0.0002625
2,88.9079,1.3818,9.11772,0.00437,0.02496,0.38499,0.17979,0.10251,0.92403,9.99503,0.00302,0.000532179,0.000532179,0.000532179
3,110.085,1.28717,8.24794,0.00411,0.07687,0.57986,0.34863,0.20789,0.88858,9.71355,0.00271,0.000796412,0.000796412,0.000796412
4,131.088,1.31314,7.26009,0.00408,0.93416,0.16945,0.38897,0.25603,1.04762,9.30388,0.00318,0.0010552,0.0010552,0.0010552
5,152.221,1.35763,6.62914,0.00435,0.89518,0.21479,0.4137,0.25588,1.06533,8.23971,0.00321,0.0012005,0.0012005,0.0012005
6,172.966,1.35717,5.94905,0.00427,0.85421,0.33604,0.52301,0.35955,0.99407,4.37772,0.00302,0.00118812,0.00118812,0.00118812
7,193.685,1.35057,5.40168,0.00413,0.8327,0.32757,0.49666,0.3285,1.13852,2.56747,0.00345,0.00117575,0.00117575,0.00117575
8,214.666,1.33025,4.82433,0.00398,0.75602,0.42499,0.54663,0.37842,1.0794,1.61768,0.00325,0.00116337,0.00116337,0.00116337
9,235.161,1.34278,4.59685,0.00418,0.719,0.49753,0.53962,0.35488,1.127,1.36774,0.0034,0.001151,0.001151,0.001151
10,255.49,1.31501,4.12974,0.00415,0.74397,0.51311,0.54526,0.38267,1.03945,1.19692,0.00315,0.00113863,0.00113863,0.00113863
11,276.676,1.36381,3.86078,0.0044,0.78964,0.52847,0.69972,0.52598,1.04464,1.1095,0.0032,0.00112625,0.00112625,0.00112625
12,298.082,1.33006,3.24294,0.00407,0.73708,0.51869,0.54928,0.39115,1.03624,1.12344,0.00324,0.00111388,0.00111388,0.00111388
13,319.352,1.3067,2.90234,0.00383,0.82863,0.50337,0.57956,0.41895,1.03476,1.03775,0.00325,0.0011015,0.0011015,0.0011015
14,340.393,1.31826,2.72405,0.00371,0.78713,0.4677,0.54399,0.40082,0.99955,1.06699,0.00301,0.00108913,0.00108913,0.00108913
15,360.772,1.27956,2.7142,0.00397,0.8048,0.51312,0.57238,0.42003,0.99604,0.99937,0.00324,0.00107675,0.00107675,0.00107675
16,381.967,1.29688,2.42835,0.0039,0.78096,0.52349,0.57788,0.42505,0.9435,1.05899,0.00291,0.00106437,0.00106437,0.00106437
17,402.651,1.24875,2.39627,0.00404,0.67755,0.46943,0.48627,0.35277,1.00204,1.18296,0.00308,0.001052,0.001052,0.001052
18,423.021,1.24008,2.17459,0.00393,0.84254,0.4738,0.57462,0.42375,0.94985,1.02613,0.00301,0.00103962,0.00103962,0.00103962
19,443.487,1.25275,2.0459,0.00376,0.78453,0.53468,0.59493,0.44062,0.97392,0.982,0.00299,0.00102725,0.00102725,0.00102725
20,464.509,1.27688,1.95096,0.0038,0.8284,0.54169,0.65781,0.46657,1.09981,0.98648,0.00338,0.00101488,0.00101488,0.00101488
21,485.295,1.25053,1.74046,0.00376,0.84566,0.51655,0.61347,0.44157,1.06879,0.95853,0.00324,0.0010025,0.0010025,0.0010025
22,506.66,1.23405,1.67798,0.00395,0.81739,0.52653,0.64416,0.4777,1.03888,0.93275,0.00326,0.000990125,0.000990125,0.000990125
23,527.122,1.24275,1.64986,0.00413,0.83025,0.55088,0.65963,0.50164,0.9452,0.85284,0.00296,0.00097775,0.00097775,0.00097775
24,548.104,1.25505,1.63733,0.00433,0.81541,0.556,0.60762,0.44256,0.99964,0.90598,0.00306,0.000965375,0.000965375,0.000965375
25,568.605,1.23606,1.52416,0.00375,0.80432,0.55226,0.7257,0.54848,0.99401,0.91133,0.00308,0.000953,0.000953,0.000953
26,589.637,1.23628,1.38011,0.00368,0.84776,0.53721,0.65688,0.4805,1.02106,0.92236,0.00318,0.000940625,0.000940625,0.000940625
27,610.906,1.20308,1.33906,0.00372,0.87281,0.51485,0.62678,0.45296,1.01717,0.89646,0.00333,0.00092825,0.00092825,0.00092825
28,632.003,1.20822,1.33529,0.00366,0.81785,0.55894,0.72874,0.54756,1.07555,0.88339,0.00337,0.000915875,0.000915875,0.000915875
29,653.003,1.19452,1.29446,0.00379,0.81732,0.60615,0.68968,0.53344,0.92048,0.81099,0.00281,0.0009035,0.0009035,0.0009035
30,674.328,1.2214,1.22794,0.0035,0.81203,0.57288,0.70362,0.5104,1.06713,0.86029,0.0033,0.000891125,0.000891125,0.000891125
31,695.105,1.15842,1.15694,0.00367,0.83091,0.59224,0.88773,0.70367,0.95642,0.8128,0.00298,0.00087875,0.00087875,0.00087875
32,715.883,1.13882,1.13132,0.00353,0.8248,0.5739,0.75733,0.58959,0.91214,0.80746,0.00287,0.000866375,0.000866375,0.000866375
33,737.112,1.09718,1.08422,0.00339,0.81078,0.59666,0.70177,0.54847,0.91762,0.82518,0.00294,0.000854,0.000854,0.000854
34,758.058,1.13618,1.08735,0.0035,0.84952,0.5741,0.87948,0.70574,0.93317,0.80028,0.00301,0.000841625,0.000841625,0.000841625
35,779.441,1.14333,1.08838,0.00351,0.85578,0.59162,0.76875,0.60448,0.94082,0.78026,0.00297,0.00082925,0.00082925,0.00082925
36,800.115,1.14822,1.08071,0.00354,0.90689,0.57386,0.80932,0.61879,1.04467,0.77905,0.00329,0.000816875,0.000816875,0.000816875
37,820.709,1.15474,1.00836,0.00327,0.84477,0.58925,0.8032,0.62817,1.03377,0.77841,0.00329,0.0008045,0.0008045,0.0008045
38,841.163,1.15649,1.00677,0.00354,0.84254,0.61524,0.74579,0.58038,0.93887,0.7068,0.00305,0.000792125,0.000792125,0.000792125
39,862.039,1.15343,0.95833,0.00353,0.8635,0.59322,0.80654,0.64367,0.9589,0.78975,0.00302,0.00077975,0.00077975,0.00077975
40,882.688,1.08027,0.92638,0.00317,0.84171,0.56844,0.70593,0.53947,0.95751,0.80792,0.00311,0.000767375,0.000767375,0.000767375
41,903.418,1.09947,0.94801,0.00337,0.88426,0.53897,0.74309,0.59105,0.96393,0.80455,0.00306,0.000755,0.000755,0.000755
42,924.048,1.07974,0.85899,0.00314,0.59985,0.89757,0.75145,0.58921,0.9118,0.78927,0.00288,0.000742625,0.000742625,0.000742625
43,945.49,1.06532,0.85246,0.00311,0.79146,0.88211,0.89054,0.71343,0.91204,0.76938,0.00285,0.00073025,0.00073025,0.00073025
44,966.349,1.09353,0.85238,0.00322,0.53902,0.932,0.7699,0.60359,0.92746,0.73607,0.00294,0.000717875,0.000717875,0.000717875
45,987.385,1.08496,0.81348,0.00313,0.85246,0.80411,0.89084,0.71552,0.91371,0.73835,0.0028,0.0007055,0.0007055,0.0007055
46,1007.96,1.06495,0.82214,0.00325,0.8789,0.84699,0.90381,0.74444,0.88992,0.70635,0.00284,0.000693125,0.000693125,0.000693125
47,1028.95,1.01003,0.77352,0.00296,0.85448,0.78006,0.88282,0.69893,0.95396,0.753,0.00294,0.00068075,0.00068075,0.00068075
48,1049.61,1.07786,0.81712,0.00327,0.78521,0.82128,0.87602,0.69258,0.95885,0.79295,0.00303,0.000668375,0.000668375,0.000668375
49,1070.17,1.05109,0.81381,0.00319,0.83622,0.85161,0.89406,0.72057,0.90662,0.72587,0.00287,0.000656,0.000656,0.000656
