epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4465,1.85004,4.58288,0.00614,0.53384,0.32683,0.33327,0.18778,1.43309,2.30516,0.00458,0.000406977,0.000406977,0.000406977
2,66.2063,1.66138,2.05287,0.00525,0.57585,0.42635,0.35961,0.21005,1.37498,2.24095,0.00449,0.000813451,0.000813451,0.000813451
3,85.1798,1.65324,1.75371,0.00537,0.83025,0.36151,0.41186,0.23985,1.41752,1.72209,0.00459,0.00120961,0.00120961,0.00120961
4,103.628,1.58334,1.55841,0.00514,0.63171,0.46644,0.46153,0.27576,1.41543,1.61866,0.00443,0.00120359,0.00120359,0.00120359
5,122.31,1.56142,1.41895,0.00488,0.61344,0.42191,0.63571,0.37683,1.36969,2.00293,0.00447,0.00118812,0.00118812,0.00118812
6,141.09,1.50051,1.35169,0.00459,0.84067,0.33231,0.59236,0.32899,1.33832,2.03128,0.00426,0.00117266,0.00117266,0.00117266
7,159.576,1.51591,1.3024,0.00477,0.71199,0.50563,0.60268,0.32922,1.50152,1.47496,0.00479,0.00115719,0.00115719,0.00115719
8,178.331,1.4816,1.21793,0.00468,0.68633,0.54821,0.52699,0.34558,1.17123,1.16682,0.00351,0.00114172,0.00114172,0.00114172
9,197.031,1.45106,1.16197,0.00444,0.36175,0.62609,0.58771,0.39336,1.24698,1.12101,0.00398,0.00112625,0.00112625,0.00112625
10,215.561,1.44137,1.13127,0.00463,0.46821,0.78312,0.61089,0.38138,1.4953,1.5865,0.0047,0.00111078,0.00111078,0.00111078
11,234.219,1.44667,1.09275,0.00462,0.46211,0.93258,0.74311,0.5036,1.20251,0.97679,0.00387,0.00109531,0.00109531,0.00109531
12,252.872,1.38319,1.06806,0.00443,0.44101,0.88162,0.62246,0.43857,1.12477,1.0662,0.00343,0.00107984,0.00107984,0.00107984
13,271.631,1.35911,1.04079,0.00415,0.80774,0.60945,0.78764,0.53807,1.22607,1.11802,0.004,0.00106437,0.00106437,0.00106437
14,290.312,1.4248,1.04465,0.00434,0.36493,0.66421,0.60963,0.42524,1.13711,1.43673,0.00346,0.00104891,0.00104891,0.00104891
15,308.88,1.3649,1.01228,0.00439,0.56654,0.87311,0.69615,0.50017,1.08218,0.84043,0.00348,0.00103344,0.00103344,0.00103344
16,327.358,1.33778,0.95568,0.00434,0.47553,0.87108,0.62712,0.43576,1.14613,1.01957,0.00344,0.00101797,0.00101797,0.00101797
17,346.064,1.34956,0.96675,0.00407,0.5935,0.79172,0.81616,0.58757,1.19002,0.9783,0.00359,0.0010025,0.0010025,0.0010025
18,364.645,1.33423,0.94588,0.00424,0.51522,0.82076,0.8432,0.62601,1.16525,0.95885,0.00344,0.000987031,0.000987031,0.000987031
19,383.199,1.31454,0.90999,0.00421,0.78798,0.56137,0.58519,0.40963,1.12633,0.95828,0.00362,0.000971562,0.000971562,0.000971562
20,401.835,1.32967,0.89478,0.00421,0.78859,0.71309,0.86578,0.67437,1.00633,0.79031,0.00312,0.000956094,0.000956094,0.000956094
21,420.353,1.30007,0.84342,0.00415,0.45965,0.84116,0.60514,0.44135,1.07205,0.92467,0.00333,0.000940625,0.000940625,0.000940625
22,439.055,1.31029,0.82653,0.00402,0.5926,0.52562,0.62481,0.43266,1.1554,0.89873,0.00354,0.000925156,0.000925156,0.000925156
23,457.476,1.26861,0.8035,0.00386,0.58712,0.86345,0.69451,0.51298,1.08572,0.82706,0.00333,0.000909688,0.000909688,0.000909688
24,476.029,1.27233,0.78944,0.00386,0.52455,0.60042,0.63503,0.4471,1.13814,0.81537,0.00354,0.000894219,0.000894219,0.000894219
25,494.64,1.24674,0.77642,0.00375,0.74234,0.70848,0.75029,0.57704,1.02378,0.84631,0.00316,0.00087875,0.00087875,0.00087875
26,513.092,1.24233,0.8001,0.00391,0.6958,0.79836,0.75381,0.55482,1.08333,0.76498,0.00332,0.000863281,0.000863281,0.000863281
27,531.661,1.23356,0.76478,0.00385,0.54992,0.83075,0.62808,0.45063,1.07742,0.82846,0.00344,0.000847813,0.000847813,0.000847813
28,550.38,1.19536,0.72571,0.00364,0.54028,0.60547,0.64352,0.46241,1.1022,0.84796,0.00332,0.000832344,0.000832344,0.000832344
29,568.842,1.20159,0.73284,0.00374,0.6048,0.79033,0.72992,0.52573,1.21073,0.88672,0.00383,0.000816875,0.000816875,0.000816875
30,587.438,1.23377,0.74954,0.00374,0.85517,0.81745,0.90418,0.69468,1.05694,0.70379,0.00337,0.000801406,0.000801406,0.000801406
31,606.1,1.20033,0.72436,0.00371,0.75799,0.82505,0.865,0.64155,1.10298,0.82515,0.00356,0.000785938,0.000785938,0.000785938
32,624.782,1.19344,0.70385,0.00368,0.61123,0.83195,0.87916,0.68368,1.06345,0.77166,0.00343,0.000770469,0.000770469,0.000770469
