epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7016,2.79036,5.8789,0.00454,0,0,0,0,1.72023,331.354,0.00432,1.25e-05,1.25e-05,1.25e-05
2,58.381,2.85024,6.4802,0.00549,0,0,0,0,1.71482,331.265,0.0043,3.71287e-05,3.71287e-05,3.71287e-05
3,64.6391,2.75887,5.69812,0.00425,0,0,0,0,1.70845,331.212,0.00441,6.12625e-05,6.12625e-05,6.12625e-05
4,70.2588,2.77972,5.8791,0.00458,0,0,0,0,1.6598,330.926,0.00422,8.49012e-05,8.49012e-05,8.49012e-05
5,75.317,2.28538,6.44455,0.00482,1e-05,0.00236,0,0,1.54047,330.434,0.0038,0.000108045,0.000108045,0.000108045
6,81.1998,1.89295,5.38111,0.00285,1e-05,0.00236,0,0,1.3584,329.735,0.00328,0.000130694,0.000130694,0.000130694
7,87.3269,1.51637,5.40629,0.00272,0.01318,0.00764,9e-05,7e-05,1.18471,329.159,0.00284,0.000152847,0.000152847,0.000152847
8,92.9911,1.4922,5.16428,0.00226,0.01425,0.15608,0.00217,0.0011,1.05698,328.708,0.00249,0.000174506,0.000174506,0.000174506
9,98.8014,1.45078,5.24542,0.00274,0.01361,0.26282,0.00496,0.00257,0.98384,328.478,0.00227,0.00019567,0.00019567,0.00019567
10,104.694,1.46031,4.9618,0.0023,0.01043,0.30712,0.00906,0.00477,0.8955,328.249,0.00206,0.000216339,0.000216339,0.000216339
11,110.238,1.353,5.52551,0.00257,0.00817,0.35221,0.01324,0.00774,0.83318,328.099,0.00192,0.000236513,0.000236513,0.000236513
12,115.499,1.39919,5.28374,0.00269,0.0075,0.37289,0.01523,0.0087,0.77212,327.941,0.0018,0.000256191,0.000256191,0.000256191
13,121.121,1.30627,4.66045,0.00218,0.00688,0.19696,0.01378,0.00732,0.73417,327.846,0.00171,0.000275375,0.000275375,0.000275375
14,126.959,1.273,4.7205,0.0024,0.0066,0.19327,0.01361,0.00725,0.73021,327.838,0.00171,0.000294064,0.000294064,0.000294064
15,132.872,1.28093,4.74668,0.00207,0.00676,0.20089,0.01373,0.00763,0.71756,327.791,0.0017,0.000312257,0.000312257,0.000312257
16,138.453,1.24576,4.51807,0.00214,0.00722,0.2152,0.01405,0.00829,0.71845,328.123,0.00174,0.000329956,0.000329956,0.000329956
