epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3213,1.93935,10.2684,0.01736,0.00694,0.69164,0.10154,0.04283,1.73025,9.98703,0.01971,0.000408805,0.000408805,0.000408805
2,45.7802,1.72282,7.11827,0.01534,0.70276,0.13836,0.14681,0.06093,1.67433,8.35462,0.01896,0.0008173,0.0008173,0.0008173
3,54.4636,1.80259,5.95043,0.0158,0.72783,0.18887,0.18251,0.06921,1.92226,3.96864,0.02179,0.00121754,0.00121754,0.00121754
4,62.9762,1.83263,5.08455,0.01629,0.72236,0.17321,0.16498,0.06492,1.83476,3.84175,0.02083,0.00121287,0.00121287,0.00121287
5,71.4659,1.83557,4.08804,0.01662,0.74842,0.21453,0.23347,0.10278,1.83482,2.62246,0.02097,0.0012005,0.0012005,0.0012005
6,80.2715,1.81706,3.58886,0.01626,0.73978,0.23997,0.23662,0.10631,1.82477,2.37198,0.02113,0.00118812,0.00118812,0.00118812
7,88.5168,1.85314,3.21402,0.01646,0.76621,0.24175,0.26112,0.11293,1.84198,2.19727,0.02084,0.00117575,0.00117575,0.00117575
8,96.7992,1.84143,2.87723,0.01701,0.76333,0.25503,0.26503,0.11688,1.82584,2.21045,0.02123,0.00116337,0.00116337,0.00116337
9,105.151,1.86947,2.74627,0.0169,0.79024,0.26724,0.30602,0.14412,1.77364,2.03062,0.02008,0.001151,0.001151,0.001151
10,113.626,1.81335,2.63645,0.01612,0.48384,0.28371,0.2731,0.1241,1.73577,2.1243,0.0196,0.00113863,0.00113863,0.00113863
11,121.989,1.76487,2.5465,0.01546,0.68239,0.29458,0.30493,0.14254,1.72701,1.96598,0.01975,0.00112625,0.00112625,0.00112625
12,130.392,1.80905,2.41763,0.01606,0.53376,0.30352,0.28892,0.12768,1.82222,1.97161,0.02081,0.00111388,0.00111388,0.00111388
13,138.81,1.78224,2.36667,0.01628,0.5751,0.32593,0.29447,0.14338,1.71754,1.975,0.01946,0.0011015,0.0011015,0.0011015
14,147.175,1.74935,2.32131,0.0159,0.50385,0.35375,0.28419,0.13418,1.76299,1.98853,0.01955,0.00108913,0.00108913,0.00108913
15,155.449,1.77799,2.30346,0.01557,0.53975,0.35793,0.28756,0.12993,1.77717,2.01638,0.02002,0.00107675,0.00107675,0.00107675
16,163.905,1.74556,2.14141,0.01552,0.65056,0.31428,0.32961,0.15946,1.6968,1.81695,0.01914,0.00106437,0.00106437,0.00106437
17,172.381,1.75411,2.22921,0.01502,0.60221,0.3655,0.32855,0.15899,1.65506,1.85394,0.01842,0.001052,0.001052,0.001052
18,180.851,1.74543,2.21606,0.01593,0.55457,0.35215,0.33035,0.16341,1.665,1.88779,0.01842,0.00103962,0.00103962,0.00103962
19,189.38,1.78423,2.17028,0.016,0.62382,0.32113,0.32638,0.15831,1.6011,1.84604,0.01784,0.00102725,0.00102725,0.00102725
20,197.794,1.72381,2.1481,0.01565,0.61348,0.33781,0.35208,0.1781,1.67866,1.78359,0.0189,0.00101488,0.00101488,0.00101488
21,206.195,1.7606,2.16283,0.01556,0.57743,0.40447,0.35993,0.17784,1.67722,1.80167,0.01916,0.0010025,0.0010025,0.0010025
22,214.457,1.74746,2.1308,0.01615,0.59849,0.30537,0.29648,0.14211,1.67602,1.97647,0.01855,0.000990125,0.000990125,0.000990125
23,222.852,1.72346,2.07562,0.01563,0.5974,0.39965,0.37246,0.18908,1.58654,1.71425,0.0176,0.00097775,0.00097775,0.00097775
24,231.149,1.75024,2.06504,0.01644,0.62746,0.37345,0.35856,0.18695,1.58763,1.82514,0.01755,0.000965375,0.000965375,0.000965375
25,239.727,1.6869,2.00039,0.01495,0.72619,0.30966,0.41065,0.21637,1.59164,1.64962,0.01754,0.000953,0.000953,0.000953
26,248.187,1.69062,2.01939,0.01501,0.59908,0.35492,0.34619,0.17544,1.63588,1.85013,0.01836,0.000940625,0.000940625,0.000940625
27,256.65,1.67918,2.06896,0.01569,0.62255,0.40234,0.4207,0.22813,1.56146,1.75099,0.01748,0.00092825,0.00092825,0.00092825
